node_id_org,node_id_dest,distance,signal,highway,max_speed,lanes,width,bridge,tunnel,surface,service,foot,bicycle
800028059,309420513,50.227226,0,"unclassified",,,,,,,,,,
1377319572,1377319500,111.952314,0,"unclassified",,,,,,,,,,
1377319572,800055394,124.261171,0,"trunk",,,,,,,,,,
1377319572,1381355734,26.256795,1,"unclassified",,,,,,,,,,
1389149915,5384944049,113.807915,0,"secondary",,,,,,,,,,
1389149915,1389149871,143.541944,0,"unclassified",,,,,,,,,,
1381355809,5384942994,97.434576,0,"unclassified",,,,,,,,,,
1381530899,1381531226,601.0874970000001,0,"unclassified",,,,,,,,,,
1381530899,1381531227,605.91153,0,"tertiary",,"1",,,,,,,,
1381355556,5384943916,81.196804,0,"unclassified",,,,,,,,,,
1381355556,1381355525,115.471175,0,"trunk",,,,,,,,,,
1389149731,1389149741,55.690246,0,"tertiary",,,,,,,,,,
1389149731,1389149769,219.83518099999998,0,"unclassified",,,,,,,,,,
800028059,1381382927,227.34191600000003,0,"residential",,,,,,,,,,
1377319285,1381355580,52.013379,0,"trunk",,,,,,,,,,
1381382871,1381382829,116.164852,0,"unclassified",,,,,,,,,,
2645279202,1381382927,68.792107,0,"unclassified",,,,,,,,,,
1381382927,2645279202,68.792107,0,"unclassified",,,,,,,,,,
309405352,309405346,37.35297,1,"tertiary",,"1",,,,,,,,
309405352,1381531340,17.374967,0,"tertiary",,"1",,,,,,,,
1381382927,800028059,227.341916,0,"residential",,,,,,,,,,
309405352,3176773522,106.791049,0,"trunk",,,,,,,,,,
1381382714,1381382738,113.26332500000001,0,"unclassified",,,,,,,,,,
1381382714,1381382740,23.604959,0,"unclassified",,,,,,,,,,
1381382740,1381382714,23.604959,0,"unclassified",,,,,,,,,,
2645912383,1381382714,11.394372,0,"unclassified",,,,,,,,,,
1381382714,2645912383,11.394372,0,"unclassified",,,,,,,,,,
5384663728,5384663726,28.420702,0,"residential",,,,,,,,,,
5384663726,5384663728,28.420702,0,"residential",,,,,,,,,,
5384663726,5384663727,92.357571,0,"residential",,,,,,,,,,
5384663727,5384663726,92.357571,0,"residential",,,,,,,,,,
5384663726,5384663729,25.721997,0,"residential",,,,,,,,,,
5384663729,5384663726,25.721997,0,"residential",,,,,,,,,,
308935912,1381491195,59.47659,0,"tertiary",,,,,,,,,,
1381491195,308935912,59.47659,1,"tertiary",,,,,,,,,,
5384681799,1377319470,82.124541,0,"unclassified",,,,,,,,,,
309420513,800028059,50.227226,0,"unclassified",,,,,,,,,,
1381491165,1381491170,77.642845,0,"unclassified",,,,,,,,,,
308935912,308788988,290.186703,0,"trunk",,,,,,,,,,
309414363,309414370,18.974346,0,"residential",,,,,,,,,,
309414370,309414363,18.974346,0,"residential",,,,,,,,,,
309414363,1381464390,29.959509,0,"tertiary",,,,,,,,,,
